Firma;Rolle;Ausschreibung_Link;Link_Typ;Status_Hinweis
NEURA Robotics;AI Data Annotation Specialist (human);https://de.indeed.com/q-data-labeling-jobs.html?vjk=27330c579be8fcd8;Einzelanzeige (Indeed - dein Link);vor Nutzung Live-Status pruefen
NEURA Robotics;AI Data Annotation Specialist (human);https://jobs.neura-robotics.com/de/offer/ai-data-annotation-specialist-human/;Karriereportal (Einzelanzeige);vor Nutzung Live-Status pruefen
cureVision;Working Student Medical AI Data Annotation & Clinical Research;https://www.stepstone.de/stellenangebote--Working-Student-Medical-AI-Data-Annotation-Clinical-Research-Munich-cureVision-GmbH--14261960-inline.html;Einzelanzeige (StepStone);vor Nutzung Live-Status pruefen
IUNA AI Systems;Werkstudent AI Data Annotation & Quality Assurance;https://join.com/companies/iuna/16045053-werkstudent-m-w-d-fuer-ai-data-annotation-und-quality-assurance;Einzelanzeige (join.com);vor Nutzung Live-Status pruefen
metamorphosis;Data Annotator (m/w/d);https://www.linkedin.com/jobs/search/?keywords=metamorphosis%20data%20annotator;LinkedIn-Suche (Einzel-ID nicht erfasst);exakte Anzeige via Suche oeffnen
Gini;Werkstudent Data Annotation (m/w/d);https://de.linkedin.com/jobs/view/werkstudent-data-annotation-m-w-d-at-gini-4240647415;Einzelanzeige (LinkedIn);vor Nutzung Live-Status pruefen
neoshare;Werkstudent Data Annotation (AI);https://startup.jobs/werkstudent-m-w-d-data-annotation-ai-neoshare-8255519;Einzelanzeige (startup.jobs);vor Nutzung Live-Status pruefen
Smart Reporting;Working Student LLM Team;https://startup.jobs/working-student-llm-team-smart-reporting-gmbh-5557127;Einzelanzeige (startup.jobs);vor Nutzung Live-Status pruefen
meinestadt.de;Speech AI Evaluation Specialist Deutsch (m/f/d);https://www.stepstone.de/stellenangebote--Speech-AI-Evaluation-Specialist-Deutsch-m-f-d-Stuttgart-meinestadt-de--14196589-inline.html;Einzelanzeige (StepStone);vor Nutzung Live-Status pruefen
Die Lautmaler;Werkstudent NLP & Software Engineering;https://www.stepstone.de/stellenangebote--Werkstudentin-NLP-Software-Engineering-Berlin-Die-Lautmaler-GmbH--13084970-inline.html;Einzelanzeige (StepStone);vor Nutzung Live-Status pruefen
LUMA Vision;Medical Deep Learning CV Engineer (m/w/d);https://de.indeed.com/viewjob?jk=a83951166053bb0e;Einzelanzeige (Indeed);vor Nutzung Live-Status pruefen
Bliq;Autonomous Driving Engineer - Next-Gen AV;https://bliq.jobs.personio.de/job/2624734?language=en;Einzelanzeige (Personio);vor Nutzung Live-Status pruefen
Go Autonomous;Data Annotator, German-speaking (PT);https://thehub.io/jobs/6630acc1f0979ef206eff85d;Einzelanzeige (The Hub);vor Nutzung Live-Status pruefen
Quantum-Systems;ML Engineer / CV (Annotation & QA);https://career.quantum-systems.com/;Karriereportal (Uebersicht);Einzelanzeige dort filtern
Agile Robots;(Senior) AI Engineer Embodied AI;https://de.indeed.com/q-data-annotation-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
VisiConsult;KI-Datenassistent (m/w/d);https://visiconsult.de/karriere/;Karriereportal;Einzelanzeige dort
Mindpeak;Pathologist (AI & Digital Pathology);https://www.mindpeak.ai/careers;Karriereportal;Einzelanzeige dort
WeSort.AI;AI Data Specialist (m/w/d);https://www.stepstone.de/jobs/data-labeling;Board-Suche (StepStone);Einzelanzeige via Suche
Merantix;Senior Computer Vision Engineer;https://www.stepstone.de/jobs/data-labeling;Board-Suche (StepStone);Einzelanzeige via Suche
voize;Senior Fullstack (Labeling-Tooling);https://www.voizeai.com/contact;Karriereportal/Kontakt;Einzelanzeige via LinkedIn
Nucs AI;Clinical Operations & Enablement Lead;https://de.indeed.com/q-ai-data-labeling-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Autonomous Teaming;ML Data Engineer - Sensor Data;https://www.linkedin.com/jobs/search/?keywords=Autonomous%20Teaming%20ML%20Data%20Engineer;LinkedIn-Suche;exakte Anzeige via Suche
Rohde & Schwarz;Werkstudent Data Acquisition & Annotation;https://www.rohde-schwarz.com/careers;Karriereportal;Einzelanzeige dort
Kaufland;Data Quality Operator for Robotics;https://www.kaufland.de/karriere/;Karriereportal;Einzelanzeige dort
FORVIA HELLA;AI Toolbox Data Annotation Internship;https://de.indeed.com/q-autonomous-driving-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Mercedes-Benz;Working Student Data Annotation & Dataset Management;https://www.mercedes-benz.com/en/careers/;Karriereportal;Einzelanzeige dort
BMW Group;Senior AI ADAS Engineer (f/m/x);https://de.indeed.com/q-data-labeling-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Bosch;Internship Data Analytics & Generative AI;https://de.indeed.com/q-data-annotation-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Infineon;Master Thesis AI Condition Monitoring;https://de.indeed.com/q-data-labeling-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Delivery Hero;Intern Data Labeler (Turkish Speaking);https://de.indeed.com/q-data-labeling-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
mpathic;Mental Health Expert (Part-Time, German);https://de.indeed.com/q-data-labeling-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Sonia;ML Werkstudent/Praktikant;https://de.indeed.com/q-daten-annotation-jobs.html;Board-Suche (Indeed);Einzelanzeige via Suche
Canva;AI Quality Evaluator German;https://www.linkedin.com/jobs/search/?keywords=Canva%20AI%20Quality%20Evaluator%20German;LinkedIn-Suche;exakte Anzeige via Suche
xAI;Human Data / AI Tutor;https://x.ai/careers;Karriereportal;Einzelanzeige dort
