Prioritaet;Firma;Segment;Standort;Bedarf/Rolle;Signal;Typ;Email;Telefon;Ansprechpartner;Website;Karriereportal;LinkedIn;Quelle;Notiz
A;NEURA Robotics GmbH;Robotics (Humanoide/Cobots);Metzingen (DE);AI Data Annotation Specialist (human) - Annotation-Workflows fuer Roboter-ML;Aktive Ausschreibung (dein vjk-Link);END-USER;info@neura-robotics.com;+49 7123 879700;HR: Florian Fackelmayer (florian.fackelmeyer@neura-robotics.com);neura-robotics.com;jobs.neura-robotics.com;linkedin.com/company/neura-robotics;Indeed/StepStone;A+ Lead - schreibt exakt die Annotation-Rolle aus. CEO David Reger
A;cureVision GmbH;Medical AI (Wundanalyse);Muenchen (DE);Working Student Medical AI Data Annotation - Wundbilder/Klinikdaten annotieren;Aktive Ausschreibung;END-USER;info@cureVision.de;+49 89 37032534;;curevision.de;curevision.de/en/kontakt;;StepStone;Regulierte Medizindaten - starker Outsourcing-Kandidat
A;IUNA AI Systems GmbH;Industrielle Bildinspektion;Untergruppenbach/Heilbronn (DE);Werkstudent AI Data Annotation & QA - Segmentation/Object Detection (CVAT);Aktive Ausschreibung;END-USER;via Website (Kontaktformular);;MD: Jan Nabatian;iuna.ai;iuna.ai/impressum;linkedin.com/company/iuna-ai;StepStone/join.com;Wiederkehrende Annotation-Rollen = laufender Bedarf
A;metamorphosis GmbH;Surgical AI (Navigation);Paderborn (DE);Data Annotator - intraoperative OP-Bilddaten annotieren;Aktive Ausschreibung;END-USER;info@metamorphosis.ai;+49 5251 29716-80;Bettina Ahlen (bettina.ahlen@metamorphosis.ai);metamorphosis.ai;metamorphosis.ai/legal-notice;;LinkedIn;Expert-Labeling, GDPR-sensibel - idealer Outsourcing-Case
A;Gini GmbH;Fintech Document AI;Muenchen (DE);Werkstudent Data Annotation - Finanzdokumente/OCR annotieren;Aktive Ausschreibung (wiederkehrend);END-USER;hello@gini.net;+49 89 41617820;Mgmt: Holger Teske;gini.net;gini.net/en/contact;;Indeed/LinkedIn;Wiederkehrende Annotation-Werkstudenten = stetiges Volumen
A;VisiConsult X-ray Systems & Solutions GmbH;Industrielle Roentgen/CT-Inspektion;Stockelsdorf (DE);KI-Datenassistent / AI Data Engineer - Roentgen/CT-Bilder labeln;Aktive Ausschreibung;END-USER;info@visiconsult.de;+49 451 290286-0;;visiconsult.de;visiconsult.de/kontakt;;Indeed/LinkedIn;Klare Defect-Detection Ground-Truth Pipeline
A;Mindpeak GmbH;Medical AI (Pathologie);Hamburg (DE);Pathologist / AI annotation - Krebs-Slides annotieren & validieren;Aktive Ausschreibung;END-USER;info@mindpeak.ai;+49 40 35676797;;mindpeak.ai;mindpeak.ai/careers;linkedin.com/company/mindpeak-gmbh;Indeed/LinkedIn;Expert-Medical-CV-Labeling at scale
A;WeSort.AI GmbH;Computer Vision (Abfallsortierung);Wuerzburg (DE);AI Data Specialist - Bilddaten reinigen & labeln (eigene Plattform);Aktive Ausschreibung;END-USER;contact@wesort.ai;+49 931 73047390;;wesort.ai;wesort.ai/kontakt;linkedin.com/company/wesort-ai;StepStone;Kontinuierliches Bild-Labeling
A;Merantix (Momentum) AG;AI Venture Studio / CV;Berlin (DE);Senior CV Engineer - Data Labeling & Curation fuer CV-Projekte;Aktive Ausschreibung;END-USER;info@merantix.com;;;merantix.com;merantix.com/imprint;;StepStone;AI-Campus Berlin, mehrere Portfolio-Firmen mit Bedarf
A;Quantum-Systems GmbH;Defense/Drohnen (ISR);Gilching/Berlin (DE);ML Engineer/CV - Annotation & QA von Trainingsdaten (Luftbild/C-UAS);Aktive Ausschreibung;END-USER;via career.quantum-systems.com;+49 8105 7709106;;quantum-systems.com;career.quantum-systems.com;linkedin.com/company/quantum-systems;Indeed;Sicherheitssensibel - DE-Anbietervorteil
