Lane;Firma;Standort;Land;Email_verifiziert;Ansprechpartner;Email_Quelle;Segment/Bedarf;Kontakt_LinkedIn
Genomik/Pathologie;CeGaT GmbH;Tübingen;DE;info@cegat.de;Dr. Dirk Biskup, Dr. Saskia Biskup;cegat.com/imprint;Genomics;
Genomik/Pathologie;Nostos Genomics GmbH;Berlin;DE;team@nostos-genomics.com;Dr. Ben Liesfeld;nostos-genomics.com/imprint;Genomics;
Genomik/Pathologie;Molecular Health GmbH;Heidelberg;DE;media@molecularhealth.com;(nur Medien-Mail);molecularhealth.com/legal-notice;Genomics;linkedin.com/in/stephan-brock-6958a65/
Genomik/Pathologie;Smart In Media AG (PathoZoom);Köln;DE;contact@smartinmedia.com;Dr. Detlef Finkler;smartinmedia.com/imprint;Digital Pathology;
Genomik/Pathologie;jung diagnostics GmbH;Hamburg;DE;info@jung-diagnostics.de;Dr. Lothar Spies;jung-diagnostics.de/imprint;Neuroimaging;
Genomik/Pathologie;Limbus Medical Technologies GmbH;Rostock;DE;info@limbus-medtec.com;Dr. Ben Liesfeld;varvis.com/imprint.html;Genomics;
Genomik/Pathologie;Epitype GmbH (vorm. oncgnostics);Dresden/Jena;DE;contact@epitype.de;Dr. Timm Zörgiebel;epitype.de/en/imprint;Genomics/Epigenetik;
Derma/Ophthalmologie;FotoFinder Systems GmbH;Bad Birnbach;DE;info@fotofinder.de;Tammy Noll, Dr. Markowsky;fotofinder.com/impressum;Dermatologie;
Derma/Ophthalmologie;Magnosco GmbH;Berlin;DE;info@magnosco.com;Thomas Diepold;magnosco.com/impressum;Dermatologie;
Derma/Ophthalmologie;medaia GmbH (SkinScreener);Graz AT;AT;office@medaia.at;Michael Tripolt;skinscreener.com/legal;Dermatologie;
Derma/Ophthalmologie;Nia Health GmbH;Berlin;DE;contact@niahealth.ai;Tobias Seidl;niahealth.ai/imprint;Dermatologie;
Derma/Ophthalmologie;RetInSight GmbH;Wien AT;AT;contact@retinsight.com;(GF-Team);retinsight.com/legal-information;Ophthalmologie;
Derma/Ophthalmologie;contextflow GmbH;Wien AT;AT;office@contextflow.com;Markus Holzer (CEO & Co-Founder);contextflow.com/impressum;Radiologie/CT;linkedin.com/in/markus-holzer/
OEM/Tier-1/Mobility;AUDI AG;Ingolstadt;DE;imprint@audi.de;Jan Muenchhoff (Director Driver Assistance & Automated Driving);audi.com/de/legal-notice;OEM ADAS/AD;linkedin.com/in/jan-m%C3%BCnchhoff-79067115
OEM/Tier-1/Mobility;Volkswagen AG;Wolfsburg;DE;vw@volkswagen.de;Cristina Rico Garcia (Head of AI Functions, CARIAD);volkswagen-group.com/de/impressum-15695;OEM AD;linkedin.com/in/cristinaricogarcia
OEM/Tier-1/Mobility;Porsche AG;Stuttgart;DE;info@porsche.de;Dr. Juergen Bortolazzi (Director Driver Assistance & Automated Driving);christophorus.porsche.com/de/impressum;OEM ADAS/AD;linkedin.com/in/juergen-bortolazzi-37133427
OEM/Tier-1/Mobility;Elektrobit Automotive GmbH;Erlangen;DE;inquiries@elektrobit.com;GF Maria Anhalt;elektrobit.com/legal-notice;Automotive SW/ADAS;linkedin.com/in/demetrioaiello/
OEM/Tier-1/Mobility;Schaeffler AG;Herzogenaurach;DE;info@schaeffler.com;Thomas Stierle (Vorstand E-Mobility / ADAS);schaeffler.com/de/meta/impressum;Tier-1 E-Mobility (inkl Vitesco);linkedin.com/in/thomas-stierle-b56421110/
OEM/Tier-1/Mobility;Knorr-Bremse AG;München;DE;info@knorr-bremse.com;Dr. Christoph Huber (VP CoC ADAS/HAD);knorr-bremse.com/en/footer/imprint;Truck Tier-1;linkedin.com/in/dr-christoph-huber-5a2047156/
OEM/Tier-1/Mobility;Webasto SE;Stockdorf;DE;info@webasto.com;Thomas Schuett (VP R&D Roof / Sensor-Integration AD);webasto.com/.../impressum;Tier-1 Sensor-Integration;
OEM/Tier-1/Mobility;MAN Truck & Bus SE;München;DE;presse-man@man.eu;Gregor Jentzsch;press.mantruckandbus.com;Truck AV;linkedin.com/in/sebastian-v%C3%B6ll-a7517814a/
OEM/Tier-1/Mobility;Daimler Truck AG;Leinfelden;DE;contact@daimlertruck.com;Joanna Buttler (Head of Global Autonomous Technology Group);daimlertruck.com/anbieter-rechtliche-hinweise;Truck AV (Torc);
OEM/Tier-1/Mobility;MAHLE GmbH;Stuttgart;DE;info@mahle.com;Manuela Höhne;mahle.com/de/imprint;Tier-1 Mechatronik/Vision;
OEM/Tier-1/Mobility;Brose SE;Coburg;DE;info@brose.com;Bernd Schemer (CTO Zentrale Entwicklung);brose.com/de-de/rechtliche-hinweise;Tier-1 In-Cabin CV;
OEM/Tier-1/Mobility;IAV GmbH;Berlin;DE;impressum@iav.com;Elmar Matthes (Head of Camera-based ADAS & ITS);iav.com/imprint;ADAS/AD-Dienstleister;
OEM/Tier-1/Mobility;Bertrandt AG;Ehningen;DE;info@bertrandt.com;Manuel Rivoir (Head of Dept Autonomous Driving);bertrandt.com/en/imprint;ADAS/AD-Engineering;linkedin.com/in/manuel-rivoir-21937219a
OEM/Tier-1/Mobility;Flix SE (FlixBus);München;DE;globalpress@flixbus.com;Iris Brand;corporate.flix.com;Mobility KI;linkedin.com/in/danielmkrauss
OEM/Tier-1/Mobility;MILES Mobility GmbH;Berlin;DE;impressum@miles-mobility.com;GF Oliver Mackprang;abo.miles-mobility.com/en/impressum;Car-Sharing KI;linkedin.com/in/fahd-lemhaider/
Forschungsinstitute/Spinoffs;DFKI;Kaiserslautern/Saarbrücken/Berlin;DE;info@dfki.de;Prof. Dr. Didier Stricker (Leiter Augmented Vision);dfki.de locations-contact;KI-Forschung;av.dfki.de/members/stricker/
Forschungsinstitute/Spinoffs;Fraunhofer IAIS;Sankt Augustin;DE;pr@iais.fraunhofer.de;Prof. Dr. Rafet Sifa (Head of Hybrid Intelligence);iais.fraunhofer.de/de/impressum;Angewandte KI;linkedin.com/in/rafetsifa
Forschungsinstitute/Spinoffs;Fraunhofer HHI;Berlin;DE;elzem.kaya@hhi.fraunhofer.de;Prof. Dr. Wojciech Samek (Head of AI);hhi.fraunhofer.de/impressum;Video/Vision KI;linkedin.com/in/wojciech-samek-78336a157/
Forschungsinstitute/Spinoffs;Fraunhofer MEVIS;Bremen;DE;office@mevis.fraunhofer.de;Prof. Dr.-Ing. Horst K. Hahn (Institutsleiter);mevis.fraunhofer.de/en/contact;Med. KI;linkedin.com/in/horst-hahn-7491a7106
Forschungsinstitute/Spinoffs;Fraunhofer IOSB;Karlsruhe;DE;info@iosb.fraunhofer.de;Dr. Michael Arens (Head of Object Recognition);iosb.fraunhofer.de/en/contact;Bild/Signal KI;
Forschungsinstitute/Spinoffs;Fraunhofer IGD;Darmstadt;DE;info@igd.fraunhofer.de;Felix Wagner (Head of Smart Living & Biometric Tech);igd.fraunhofer.de/impressum;Visual Computing;
Forschungsinstitute/Spinoffs;Fraunhofer IPA;Stuttgart;DE;industrieanfragen@ipa.fraunhofer.de;Prof. Dr.-Ing. Marco Huber (Head Machine Vision & Signal Processing);ipa.fraunhofer.de/de/kontakt;Produktions/Robotik-KI;
Forschungsinstitute/Spinoffs;Fraunhofer IPM;Freiburg;DE;info@ipm.fraunhofer.de;Prof. Dr.-Ing. Alexander Reiterer (Leiter Objekt-/Formerfassung);ipm.fraunhofer.de/de/kontakt;Mess/Sensor-KI;linkedin.com/in/alexander-reiterer
Forschungsinstitute/Spinoffs;Fraunhofer FKIE;Wachtberg/Bonn;DE;kontakt@fkie.fraunhofer.de;Prof. Dr. Wolfgang Koch (Leiter Sensordaten-/Informationsfusion);fkie.fraunhofer.de/de/impressum;KI/Defense;
Forschungsinstitute/Spinoffs;Fraunhofer IMS;Duisburg;DE;presse@ims.fraunhofer.de;Dr. Christian Wiede (Head of Embedded/Edge AI);ims.fraunhofer.de/de/impressum;Edge-KI;
Forschungsinstitute/Spinoffs;Fraunhofer IKS;München;DE;eva.wardenburg@iks.fraunhofer.de;Prof. Dr. Mario Trapp (Institutsleiter);iks.fraunhofer.de/de/impressum;Safe AI;
Forschungsinstitute/Spinoffs;Tübingen AI Center;Tübingen;DE;info@tuebingen.ai;Prof. Bethge;tuebingen.ai/imprint;KI-Zentrum;
Forschungsinstitute/Spinoffs;fortiss;München;DE;info@fortiss.org;Dr. Hao Shen (Leiter Machine Learning);fortiss.org/impressum;KI/SW-Institut;
Forschungsinstitute/Spinoffs;CISPA Helmholtz;Saarbrücken;DE;info@cispa.de;Prof. Dr. Mario Fritz (Trustworthy AI & ML);cispa.de/de/impressum;KI-Sicherheit;
Forschungsinstitute/Spinoffs;L3S Research Center;Hannover;DE;info@l3s.de;Dr. Claudia Niederee (Managing Director);l3s.de/contact;KI-Forschung;
Forschungsinstitute/Spinoffs;ScaDS.AI;Dresden/Leipzig;DE;scads.ai@tu-dresden.de;Prof. Gerik Scheuermann (Managing Director);scads.ai/imprint;KI-Zentrum;
Forschungsinstitute/Spinoffs;BIFOLD (TU Berlin);Berlin;DE;pr@bifold.berlin;Prof. Volker Markl (Director);bifold.berlin/imprint;KI/Big-Data;bifold.berlin/people
Forschungsinstitute/Spinoffs;appliedAI Initiative;München;DE;info@appliedai.de;Dr. Andreas Liebl (Managing Director);appliedai.de/en/imprint;Angewandte KI;
Speech/Voice;VIER GmbH;Hannover;DE;info@vier.ai;Rainer Holler;vier.ai/impressum;Conversational/Voice;
Speech/Voice;Aristech GmbH;Heidelberg;DE;sprache@aristech.de;Carolin Edler-Mende (CEO & Founder);aristech.ai/imprint;TTS/ASR;linkedin.com/in/carolin-edler-mende-b513b77b
Speech/Voice;Linguwerk GmbH;Dresden;DE;info@linguwerk.de;Dr. Rico Petrick (CEO & Founder);linguwerk.de/impressum;Embedded ASR;linkedin.com/in/rico-petrick-2651149
Speech/Voice;VITAS GmbH;Regensburg;DE;kontakt@vitas.ai;Thomas Abend (Founder & CEO);vitas.ai/impressum;Voicebot Praxen;linkedin.com/in/thomas-abend
Speech/Voice;audEERING GmbH;Gilching;DE;info@audeering.com;Dr. Florian Eyben (CTO & Co-Founder);audeering.com/imprint;Emotion/Sound AI;linkedin.com/in/florian-eyben-54324864
Speech/Voice;Loudly GmbH;Berlin;DE;help@loudly.com;Rory Kenny (Co-Founder & CEO);loudly.com/imprint;KI-Musik;linkedin.com/in/rorykenny
Speech/Voice;MediaInterface GmbH;Dresden;DE;info@mediainterface.de;Robert Groeber (Geschaeftsfuehrer);mediainterface.de/impressum;Med. Diktier-KI;linkedin.com/in/robertgroeber
Speech/Voice;i2x GmbH;Mönchengladbach;DE;hello@i2x.ai;Michael Brehm (Founder & CEO);i2x.ai/imprint;Echtzeit-Sprachanalyse;
Speech/Voice;Onlim GmbH;Innsbruck AT;AT;office@onlim.com;Ioan Toma (Chief AI Officer & Co-Founder);onlim.com/en/imprint;Conversational AI;linkedin.com/in/ioantoma
Speech/Voice;Retorio GmbH;München;DE;contact@retorio.com;Florian Abicht (Chief AI Officer);retorio.com/imprint;Behavioral/Voice AI;linkedin.com/in/florian-abicht-62168680/
Speech/Voice;novomind AG;Hamburg;DE;info@novomind.com;Thomas Koehler (Managing Partner & CPTO);novomind.com/de/impressum;Customer-Service-KI;linkedin.com/in/thomasnovomind
Speech/Voice;moin.ai (knowhere GmbH);Hamburg;DE;team@moin.ai;Florian Nommensen (Mitgruender & CTO);moin.ai/impressum;Chatbot;linkedin.com/in/florian-nommensen-6a5bbb73/
Speech/Voice;kauz GmbH;Düsseldorf;DE;info@kauz.ai;Dr. Thomas Ruedel (Gruender & CEO);kauz.ai/impressum;NLU/Chatbot;linkedin.com/in/thomas-ruedel-92980985/
Speech/Voice;Charamel GmbH;Köln;DE;info@charamel.com;Alexander Stricker (Gruender & CEO);charamel.com/impressum.html;Avatar/Voice;linkedin.com/in/alexander-stricker
Speech/Voice;semvox GmbH;Saarbrücken;DE;info@semvox.de;Alexander Pfalzgraf (Mitgruender & CTO);semvox.de/impressum;Voice Assistants;linkedin.com/in/alexander-pfalzgraf-b0522865/
Speech/Voice;Endel Sound GmbH;Berlin;DE;ask@endel.io;Kirill Bulatsev (Co-Founder & CTO);endel.io/impressum;Generative Audio;
Speech/Voice;assono GmbH;Kiel;DE;kontakt@assono.de;Thomas Bahn (Mitgruender & GF);assono.de/impressum;Chatbot;linkedin.com/in/thomasbahn
Speech/Voice;Cyanite (elceedee UG);Mannheim;DE;mail@cyanite.ai;Joshua Weikert (Co-Founder & CTO);cyanite.ai/legal-notice;Musik-KI/MIR;linkedin.com/in/joshua-weikert-315258104
Speech/Voice;melibo GmbH;München;DE;info@melibo.de;Felix Stelzer (Mitgruender & CEO);melibo.de/impressum;Chatbot;linkedin.com/in/felix-stelzer-11bb69164
Speech/Voice;Convaise GmbH;München;DE;kontakt@convaise.com;Stefan Zitzlsperger (Mitgruender & CTO);convaise.com/impressum;Conversational AI;linkedin.com/in/zitzlsperger/
Drohnen/Maritime;SEA.AI GmbH;Linz AT;AT;contact@sea.ai;Marcus Warrelmann;sea.ai/imprint;Maritime CV;
Drohnen/Maritime;FlyNex GmbH;Leipzig/Hamburg;DE;info@flynex.de;Holger Dirksen (Co-Founder & CTO);flynex.io/imprint;Inspektionsdrohnen;linkedin.com/in/holger-dirksen-060aa816a
Drohnen/Maritime;Zeabuz AS;Trondheim NO;NO;contact@zeabuz.com;Oyvind Smogeli (CTO & Co-Founder);zeabuz.com/contact;Autonome Fähren;linkedin.com/in/oyvind-smogeli-81063b26/
Drohnen/Maritime;Blueye Robotics AS;Trondheim NO;NO;contact@blueye.no;Jonas Folleso (CTO & Co-Founder);blueyerobotics.com/contact;Unterwasser-ROV;linkedin.com/in/follesoe/
Drohnen/Maritime;Avy B.V.;Amsterdam NL;NL;fly@avy.eu;Matthijs Damen (CTO);avy.eu/contact;Lieferdrohnen;linkedin.com/in/mfadamen/
Drohnen/Maritime;Dronamics;Sofia BG;BG;info@dronamics.com;Konstantin Rangelov (Co-Founder & CTO);dronamics.com/contact;Cargo-Drohne;bg.linkedin.com/in/konstantinrangelov
Drohnen/Maritime;Captain AI;Rotterdam NL;NL;info@captainai.com;Gerard Kruisheer (Co-Founder & CTO);captainai.com/contact;Autonome Schifffahrt;
