Firma;Email;Status;Ansprechpartner;Quelle;Notiz
Vay Technology GmbH;info@vay.io;verifiziert;;vay.io/imprint;
Aignostics GmbH;info@aignostics.com;verifiziert;Viktor Matyas;aignostics.com/impressum;
deepc GmbH;contact@deepc.ai;verifiziert;;deepc.ai/imprint;
Floy GmbH;info@floy.com;verifiziert;Benedikt Schneider;floy.com/impressum;
Helsing GmbH;contact@helsing.ai;verifiziert;;helsing.ai/contact;
Aleph Alpha GmbH;info@aleph-alpha.com;verifiziert;Jonas Andrulis;aleph-alpha.com/impressum;auch sales@aleph-alpha.com
Black Forest Labs;info@blackforestlabs.ai;verifiziert;;bfl.ai/legal/imprint;
deepset GmbH;info@deepset.ai;verifiziert;;deepset.ai/imprint;
Parloa GmbH;malte@parloa.com;verifiziert (Person);Malte Kosub (CEO);parloa.com/imprint;
natif.ai GmbH;contact@natif.ai;verifiziert;Johannes Korves, Dr. Michael Berger;natif.ai/imprint;
LiveEO GmbH;info@live-eo.com;verifiziert;;live-eo.com/contact;
Fernride GmbH;info@fernride.com;verifiziert;Hendrik Kramer, Thomas Bock (GF);fernride.com/imprint;
Sereact GmbH;contact@sereact.ai;verifiziert;Marc Tuscher, Ralf Gulde (GF);sereact.ai/legal;
Wandelbots GmbH;contact@wandelbots.com;verifiziert;;wandelbots.com/imprint;
Micropsi Industries;contact@micropsi-industries.com;verifiziert;Ronnie Vuine;micropsi-industries.com/imprint;
RobCo GmbH;info@robco.de;verifiziert;Roman Hoelzl, Paul Maroldt (GF);rob.co/de/impressum;auch sales@robco.de
Magazino GmbH;info@magazino.eu;verifiziert;;magazino.eu/en/imprint;
ARX Robotics GmbH;info@arx-robotics.com;verifiziert;Marc A. Wietfeld u.a. (GF);arx-robotics.com/legal/imprint;Domain korrigiert (arx-robotics.com)
Stark Defence;contact@stark-defence.com;verifiziert;Uwe Horstmann u.a. (Vorstand);stark-defence.com/en/imprint;Domain korrigiert (stark-defence.com); Presse media@stark-defence.com
DeepScenario;info@deepscenario.com;verifiziert;Dr. Holger Banzhaf (MD);deepscenario.com/imprint;
Kopernikus Automotive GmbH;talkto@kopernikusauto.com;verifiziert;Stefan A. Jenzowsky u.a. (GF);kopernikusauto.com/impressum;
MotorAI GmbH;info@motor-ai.com;verifiziert;Roy Uhlmann, Adam Bahlke;motor-ai.com/impressum;
Blickfeld GmbH;info@blickfeld.com;verifiziert;Dr. Mathias Mueller, Fabien Haubert;blickfeld.com/imprint;
MOIA GmbH;info@moia.io;verifiziert;Christian Senger u.a. (GF);moia.io/en/imprint;
Cariad SE;info@cariad.technology;verifiziert;Peter Bosch (Vorstandsvors.);cariad.technology/legal-notice;
Continental (Autonomous Mobility);mail_service@conti.de;verifiziert;;continental.com/de/impressum;Mail-Domain conti.de (nicht continental.com)
